,M
0,0
1,35
2,70
3,105
4,140
5,175
6,210
7,246
8,280
9,316
10,351
11,386
12,421
13,456
14,491
15,526
16,561
17,596
18,631
19,666
20,701
21,736
22,771
23,806
24,841
25,876
26,911
27,946
28,981
29,1016
30,1051
31,1086
32,1121
33,1156
34,1191
35,1226
36,1261
37,1296
38,1331
39,1366
40,1401
41,1436
42,1470
43,1506
44,1540
45,1575
46,1610
47,1645
48,1680
49,1715
50,1749
51,1784
52,1819
53,1854
54,1889
55,1924
56,1958
57,1994
58,2028
59,2063
60,2098
61,2132
62,2167
63,2202
64,2237
65,2271
66,2306
67,2341
68,2376
69,2410
70,2445
71,2480
72,2514
73,2549
74,2583
75,2618
76,2653
77,2687
78,2722
79,2756
80,2791
81,2825
82,2860
83,2895
84,2929
85,2963
86,2998
87,3033
88,3067
89,3102
90,3136
91,3170
92,3205
93,3239
94,3273
95,3308
96,3342
97,3376
98,3410
99,3445
100,3479
101,3513
102,3548
103,3582
104,3616
105,3650
106,3684
107,3719
108,3753
109,3787
110,3821
111,3855
112,3889
113,3923
114,3957
115,3991
116,4025
117,4059
118,4093
119,4127
120,4161
121,4195
122,4229
123,4263
124,4296
125,4330
126,4364
127,4398
128,4432
129,4465
130,4499
131,4533
132,4566
133,4600
134,4634
135,4667
136,4701
137,4735
138,4768
139,4802
140,4835
141,4869
142,4902
143,4935
144,4969
145,5002
146,5036
147,5069
148,5102
149,5136
150,5169
151,5202
152,5235
153,5269
154,5302
155,5335
156,5368
157,5401
158,5435
159,5467
160,5501
161,5534
162,5566
163,5600
164,5632
165,5665
166,5698
167,5731
168,5764
169,5797
170,5829
171,5862
172,5895
173,5928
174,5960
175,5993
176,6026
177,6058
178,6091
179,6123
180,6156
181,6188
182,6221
183,6253
184,6286
185,6318
186,6350
187,6382
188,6415
189,6447
190,6479
191,6512
192,6544
193,6576
194,6608
195,6640
196,6672
197,6704
198,6736
199,6768
200,6800
201,6832
202,6864
203,6895
204,6927
205,6959
206,6991
207,7022
208,7054
209,7086
210,7117
211,7149
212,7180
213,7212
214,7243
215,7275
216,7306
217,7338
218,7369
219,7400
220,7431
221,7463
222,7494
223,7525
224,7556
225,7587
226,7619
227,7650
228,7680
229,7712
230,7742
231,7773
232,7804
233,7835
234,7866
235,7896
236,7927
237,7958
238,7988
239,8019
240,8050
241,8080
242,8111
243,8141
244,8171
245,8202
246,8232
247,8262
248,8293
249,8323
250,8353
251,8383
252,8413
253,8444
254,8474
255,8503
256,8533
257,8563
258,8593
259,8623
260,8653
261,8683
262,8713
263,8742
264,8772
265,8802
266,8831
267,8861
268,8890
269,8920
270,8949
271,8978
272,9007
273,9037
274,9066
275,9095
276,9124
277,9153
278,9183
279,9211
280,9240
281,9270
282,9299
283,9327
284,9356
285,9385
286,9413
287,9442
288,9471
289,9499
290,9528
291,9557
292,9585
293,9614
294,9642
295,9670
296,9698
297,9727
298,9755
299,9783
300,9811
301,9839
302,9867
303,9895
304,9923
305,9951
306,9979
307,10007
308,10034
309,10062
310,10090
311,10118
312,10145
313,10173
314,10200
315,10228
316,10255
317,10282
318,10310
319,10337
320,10364
321,10391
322,10418
323,10445
324,10472
325,10499
326,10526
327,10553
328,10580
329,10607
330,10633
331,10660
332,10687
333,10713
334,10740
335,10766
336,10793
337,10819
338,10845
339,10871
340,10898
341,10924
342,10950
343,10976
344,11002
345,11028
346,11054
347,11080
348,11106
349,11131
350,11157
351,11183
352,11209
353,11234
354,11260
355,11285
356,11310
357,11336
358,11361
359,11387
360,11412
361,11437
362,11462
363,11487
364,11512
365,11537
366,11562
367,11587
368,11612
369,11636
370,11661
371,11685
372,11710
373,11735
374,11759
375,11784
376,11808
377,11832
378,11856
379,11881
380,11905
381,11929
382,11953
383,11977
384,12001
385,12025
386,12048
387,12072
388,12096
389,12120
390,12143
391,12167
392,12190
393,12214
394,12237
395,12261
396,12284
397,12307
398,12330
399,12353
400,12376
401,12399
402,12422
403,12445
404,12468
405,12490
406,12513
407,12536
408,12559
409,12581
410,12604
411,12626
412,12648
413,12670
414,12693
415,12715
416,12737
417,12759
418,12781
419,12803
420,12825
421,12847
422,12868
423,12890
424,12912
425,12933
426,12955
427,12977
428,12998
429,13019
430,13041
431,13062
432,13083
433,13104
434,13125
435,13146
436,13167
437,13188
438,13209
439,13229
440,13250
441,13271
442,13291
443,13312
444,13333
445,13353
446,13373
447,13394
448,13413
449,13434
450,13454
451,13474
452,13494
453,13514
454,13534
455,13553
456,13573
457,13593
458,13612
459,13632
460,13651
461,13671
462,13690
463,13709
464,13729
465,13748
466,13767
467,13786
468,13805
469,13824
470,13842
471,13861
472,13880
473,13899
474,13917
475,13936
476,13954
477,13973
478,13991
479,14009
480,14027
481,14046
482,14064
483,14082
484,14100
485,14118
486,14135
487,14153
488,14171
489,14188
490,14206
491,14223
492,14241
493,14258
494,14276
495,14293
496,14310
497,14327
498,14344
499,14361
500,14378
501,14395
502,14412
503,14428
504,14445
505,14462
506,14478
507,14495
508,14511
509,14527
510,14544
511,14560
512,14576
513,14592
514,14608
515,14624
516,14640
517,14655
518,14671
519,14687
520,14702
521,14718
522,14733
523,14749
524,14764
525,14779
526,14794
527,14810
528,14824
529,14839
530,14854
531,14869
532,14884
533,14899
534,14913
535,14928
536,14943
537,14957
538,14971
539,14986
540,15000
541,15014
542,15028
543,15042
544,15056
545,15070
546,15083
547,15097
548,15111
549,15125
550,15138
551,15152
552,15165
553,15178
554,15191
555,15205
556,15218
557,15231
558,15244
559,15257
560,15270
561,15282
562,15295
563,15308
564,15321
565,15333
566,15345
567,15358
568,15370
569,15382
570,15394
571,15406
572,15418
573,15430
574,15442
575,15454
576,15466
577,15477
578,15489
579,15501
580,15512
581,15523
582,15534
583,15546
584,15557
585,15568
586,15579
587,15590
588,15601
589,15611
590,15622
591,15633
592,15644
593,15654
594,15665
595,15675
596,15685
597,15695
598,15706
599,15716
600,15726
601,15736
602,15746
603,15755
604,15765
605,15775
606,15784
607,15794
608,15803
609,15812
610,15822
611,15831
612,15840
613,15849
614,15858
615,15867
616,15876
617,15885
618,15893
619,15902
620,15911
621,15919
622,15928
623,15936
624,15944
625,15953
626,15960
627,15969
628,15976
629,15984
630,15992
631,16000
632,16008
633,16016
634,16023
635,16031
636,16038
637,16045
638,16053
639,16059
640,16067
641,16074
642,16081
643,16088
644,16094
645,16101
646,16108
647,16114
648,16121
649,16127
650,16134
651,16140
652,16146
653,16152
654,16158
655,16165
656,16170
657,16176
658,16182
659,16188
660,16193
661,16199
662,16204
663,16210
664,16215
665,16221
666,16226
667,16231
668,16236
669,16241
670,16245
671,16251
672,16255
673,16260
674,16264
675,16269
676,16273
677,16278
678,16282
679,16286
680,16291
681,16295
682,16298
683,16303
684,16306
685,16310
686,16314
687,16317
688,16321
689,16325
690,16328
691,16331
692,16335
693,16338
694,16341
695,16344
696,16347
697,16349
698,16352
699,16355
700,16358
701,16360
702,16363
703,16365
704,16368
705,16370
706,16372
707,16374
708,16376
709,16378
710,16380
711,16382
712,16384
713,16386
714,16387
715,16389
716,16390
717,16392
718,16393
719,16394
720,16395
721,16396
722,16397
723,16398
724,16399
725,16400
726,16401
727,16401
728,16402
729,16402
730,16403
731,16403
732,16403
733,16403
734,16404
735,16404
736,16404
737,16403
738,16403
739,16403
740,16403
741,16402
742,16402
743,16401
744,16401
745,16400
746,16399
747,16398
748,16397
749,16396
750,16395
751,16394
752,16393
753,16391
754,16390
755,16389
756,16387
757,16386
758,16384
759,16382
760,16380
761,16378
762,16376
763,16374
764,16372
765,16370
766,16368
767,16365
768,16363
769,16360
770,16358
771,16355
772,16352
773,16350
774,16347
775,16344
776,16341
777,16338
778,16334
779,16331
780,16328
781,16324
782,16321
783,16317
784,16314
785,16310
786,16306
787,16302
788,16299
789,16294
790,16291
791,16286
792,16282
793,16278
794,16274
795,16269
796,16265
797,16260
798,16255
799,16250
800,16246
801,16241
802,16236
803,16231
804,16226
805,16220
806,16215
807,16210
808,16205
809,16199
810,16193
811,16188
812,16182
813,16176
814,16170
815,16164
816,16159
817,16152
818,16146
819,16140
820,16134
821,16127
822,16121
823,16114
824,16108
825,16101
826,16094
827,16087
828,16081
829,16074
830,16067
831,16060
832,16052
833,16045
834,16038
835,16030
836,16023
837,16016
838,16008
839,16000
840,15992
841,15984
842,15977
843,15969
844,15960
845,15952
846,15944
847,15936
848,15927
849,15919
850,15911
851,15902
852,15893
853,15885
854,15876
855,15867
856,15858
857,15849
858,15840
859,15831
860,15822
861,15813
862,15803
863,15794
864,15784
865,15775
866,15765
867,15755
868,15745
869,15735
870,15726
871,15716
872,15705
873,15695
874,15685
875,15675
876,15665
877,15654
878,15643
879,15633
880,15622
881,15612
882,15601
883,15590
884,15579
885,15568
886,15557
887,15546
888,15534
889,15523
890,15512
891,15501
892,15489
893,15477
894,15466
895,15454
896,15442
897,15430
898,15418
899,15406
900,15394
901,15382
902,15370
903,15358
904,15345
905,15333
906,15321
907,15308
908,15295
909,15282
910,15270
911,15257
912,15244
913,15231
914,15218
915,15205
916,15191
917,15178
918,15165
919,15152
920,15138
921,15125
922,15111
923,15097
924,15083
925,15070
926,15056
927,15042
928,15028
929,15014
930,15000
931,14985
932,14971
933,14957
934,14943
935,14928
936,14913
937,14899
938,14884
939,14869
940,14855
941,14839
942,14825
943,14810
944,14794
945,14779
946,14764
947,14748
948,14733
949,14718
950,14702
951,14687
952,14671
953,14655
954,14639
955,14624
956,14608
957,14592
958,14576
959,14560
960,14544
961,14527
962,14511
963,14494
964,14478
965,14461
966,14445
967,14428
968,14412
969,14395
970,14378
971,14361
972,14344
973,14327
974,14310
975,14293
976,14276
977,14258
978,14241
979,14224
980,14206
981,14188
982,14171
983,14153
984,14135
985,14118
986,14100
987,14082
988,14064
989,14045
990,14028
991,14009
992,13991
993,13973
994,13954
995,13936
996,13917
997,13899
998,13880
999,13861
1000,13843
1001,13824
1002,13805
1003,13786
1004,13767
1005,13748
1006,13729
1007,13709
1008,13690
1009,13671
1010,13651
1011,13632
1012,13612
1013,13593
1014,13573
1015,13553
1016,13533
1017,13514
1018,13494
1019,13474
1020,13454
1021,13434
1022,13414
1023,13393
1024,13373
1025,13353
1026,13332
1027,13312
1028,13291
1029,13271
1030,13250
1031,13230
1032,13209
1033,13188
1034,13167
1035,13146
1036,13125
1037,13104
1038,13083
1039,13062
1040,13041
1041,13019
1042,12998
1043,12976
1044,12955
1045,12933
1046,12912
1047,12890
1048,12869
1049,12847
1050,12825
1051,12803
1052,12781
1053,12759
1054,12737
1055,12715
1056,12693
1057,12671
1058,12648
1059,12626
1060,12604
1061,12581
1062,12558
1063,12536
1064,12513
1065,12490
1066,12468
1067,12445
1068,12422
1069,12399
1070,12376
1071,12353
1072,12330
1073,12307
1074,12284
1075,12260
1076,12237
1077,12214
1078,12190
1079,12167
1080,12143
1081,12120
1082,12096
1083,12072
1084,12049
1085,12025
1086,12001
1087,11977
1088,11953
1089,11929
1090,11905
1091,11881
1092,11857
1093,11832
1094,11808
1095,11783
1096,11759
1097,11735
1098,11710
1099,11686
1100,11661
1101,11636
1102,11612
1103,11587
1104,11562
1105,11537
1106,11512
1107,11487
1108,11462
1109,11437
1110,11412
1111,11386
1112,11361
1113,11336
1114,11311
1115,11285
1116,11260
1117,11234
1118,11209
1119,11183
1120,11157
1121,11131
1122,11106
1123,11080
1124,11054
1125,11028
1126,11002
1127,10976
1128,10950
1129,10924
1130,10898
1131,10872
1132,10845
1133,10819
1134,10793
1135,10766
1136,10740
1137,10713
1138,10687
1139,10660
1140,10633
1141,10607
1142,10580
1143,10553
1144,10526
1145,10499
1146,10472
1147,10445
1148,10418
1149,10391
1150,10364
1151,10337
1152,10309
1153,10282
1154,10255
