Data Table for Total Cases - The United States
Date generated: Tue Oct 12 2021 14:54:11 GMT-0700 (PDT)
State,Date,Total Cases,Total Case Rate per 100k
United States,Oct 11 2021,44401209,13546.2
United States,Oct 10 2021,44348798,13530.3
United States,Oct  9 2021,44294392,13513.7
United States,Oct  8 2021,44229874,13494
United States,Oct  7 2021,44123492,13461.5
United States,Oct  6 2021,44014360,13428.2
United States,Oct  5 2021,43895670,13392
United States,Oct  4 2021,43791828,13360.3
United States,Oct  3 2021,43718461,13338
United States,Oct  2 2021,43645053,13315.6
United States,Oct  1 2021,43561683,13290.1
United States,Sep 30 2021,43441979,13253.6
United States,Sep 29 2021,43323088,13217.3
United States,Sep 28 2021,43203893,13181
United States,Sep 27 2021,43091150,13146.6
United States,Sep 26 2021,43002307,13119.5
United States,Sep 25 2021,42919197,13094.1
United States,Sep 24 2021,42819988,13063.8
United States,Sep 23 2021,42689660,13024.1
United States,Sep 22 2021,42558023,12983.9
United States,Sep 21 2021,42429870,12944.8
United States,Sep 20 2021,42298702,12904.8
United States,Sep 19 2021,42207012,12876.8
United States,Sep 18 2021,42117005,12849.4
United States,Sep 17 2021,41999343,12813.5
United States,Sep 16 2021,41846787,12766.9
United States,Sep 15 2021,41684995,12717.6
United States,Sep 14 2021,41520840,12667.5
United States,Sep 13 2021,41359889,12618.4
United States,Sep 12 2021,41247055,12584
United States,Sep 11 2021,41142363,12552
United States,Sep 10 2021,41002980,12509.5
United States,Sep  9 2021,40831169,12457.1
United States,Sep  8 2021,40639797,12398.7
United States,Sep  7 2021,40457181,12343
United States,Sep  6 2021,40348130,12309.7
United States,Sep  5 2021,40249445,12279.6
United States,Sep  4 2021,40137151,12245.3
United States,Sep  3 2021,39992805,12201.3
United States,Sep  2 2021,39808279,12145
United States,Sep  1 2021,39625021,12089.1
United States,Aug 31 2021,39432835,12030.5
United States,Aug 30 2021,39251616,11975.2
United States,Aug 29 2021,39125278,11936.6
United States,Aug 28 2021,39011946,11902.1
United States,Aug 27 2021,38863649,11856.8
United States,Aug 26 2021,38679902,11800.8
United States,Aug 25 2021,38492073,11743.4
United States,Aug 24 2021,38300933,11685.1
United States,Aug 23 2021,38125392,11631.6
United States,Aug 22 2021,38005090,11594.9
United States,Aug 21 2021,37885741,11558.5
United States,Aug 20 2021,37740986,11514.3
United States,Aug 19 2021,37571606,11462.6
United States,Aug 18 2021,37402634,11411.1
United States,Aug 17 2021,37224087,11356.6
United States,Aug 16 2021,37063864,11307.7
United States,Aug 15 2021,36951654,11273.5
United States,Aug 14 2021,36843305,11240.4
United States,Aug 13 2021,36704477,11198.1
United States,Aug 12 2021,36554524,11152.3
United States,Aug 11 2021,36397013,11104.3
United States,Aug 10 2021,36242208,11057
United States,Aug  9 2021,36098835,11013.3
United States,Aug  8 2021,36002500,10983.9
United States,Aug  7 2021,35908186,10955.1
United States,Aug  6 2021,35785841,10917.8
United States,Aug  5 2021,35651383,10876.8
United States,Aug  4 2021,35519192,10836.5
United States,Aug  3 2021,35388199,10796.5
United States,Aug  2 2021,35270396,10760.6
United States,Aug  1 2021,35188809,10735.7
United States,Jul 31 2021,35114069,10712.9
United States,Jul 30 2021,35020662,10684.4
United States,Jul 29 2021,34912262,10651.3
United States,Jul 28 2021,34811369,10620.5
United States,Jul 27 2021,34715068,10591.1
United States,Jul 26 2021,34627290,10564.4
United States,Jul 25 2021,34569149,10546.6
United States,Jul 24 2021,34517184,10530.8
United States,Jul 23 2021,34455483,10511.9
United States,Jul 22 2021,34384919,10490.4
United States,Jul 21 2021,34313330,10468.6
United States,Jul 20 2021,34247484,10448.5
United States,Jul 19 2021,34194028,10432.2
United States,Jul 18 2021,34156110,10420.6
United States,Jul 17 2021,34121152,10409.9
United States,Jul 16 2021,34083216,10398.4
United States,Jul 15 2021,34039217,10384.9
United States,Jul 14 2021,33996231,10371.8
United States,Jul 13 2021,33954925,10359.2
United States,Jul 12 2021,33919029,10348.3
United States,Jul 11 2021,33894580,10340.8
United States,Jul 10 2021,33873934,10334.5
United States,Jul  9 2021,33849551,10327.1
United States,Jul  8 2021,33820225,10318.1
United States,Jul  7 2021,33789537,10308.8
United States,Jul  6 2021,33764863,10301.2
United States,Jul  5 2021,33747966,10296.1
United States,Jul  4 2021,33736819,10292.7
United States,Jul  3 2021,33724320,10288.9
United States,Jul  2 2021,33709020,10284.2
United States,Jul  1 2021,33691660,10278.9
United States,Jun 30 2021,33672700,10273.1
United States,Jun 29 2021,33654805,10267.7
United States,Jun 28 2021,33638323,10262.6
United States,Jun 27 2021,33627448,10259.3
United States,Jun 26 2021,33617830,10256.4
United States,Jun 25 2021,33604966,10252.5
United States,Jun 24 2021,33590639,10248.1
United States,Jun 23 2021,33575229,10243.4
United States,Jun 22 2021,33560790,10239
United States,Jun 21 2021,33546868,10234.7
United States,Jun 20 2021,33538350,10232.1
United States,Jun 19 2021,33529465,10229.4
United States,Jun 18 2021,33517270,10225.7
United States,Jun 17 2021,33505545,10222.1
United States,Jun 16 2021,33492101,10218
United States,Jun 15 2021,33478570,10213.9
United States,Jun 14 2021,33465431,10209.9
United States,Jun 13 2021,33457041,10207.3
United States,Jun 12 2021,33448615,10204.8
United States,Jun 11 2021,33436638,10201.1
United States,Jun 10 2021,33422910,10196.9
United States,Jun  9 2021,33406672,10192
United States,Jun  8 2021,33387021,10186
United States,Jun  7 2021,33372629,10181.6
United States,Jun  6 2021,33362419,10178.5
United States,Jun  5 2021,33351652,10175.2
United States,Jun  4 2021,33337205,10170.8
United States,Jun  3 2021,33318844,10165.2
United States,Jun  2 2021,33300026,10159.4
United States,Jun  1 2021,33283270,10154.3
United States,May 31 2021,33274025,10151.5
United States,May 30 2021,33265015,10148.7
United States,May 29 2021,33253346,10145.2
United States,May 28 2021,33237770,10140.4
United States,May 27 2021,33217444,10134.2
United States,May 26 2021,33195689,10127.6
United States,May 25 2021,33172081,10120.4
United States,May 24 2021,33147918,10113
United States,May 23 2021,33131999,10108.2
United States,May 22 2021,33116893,10103.5
United States,May 21 2021,33095358,10097
United States,May 20 2021,33067567,10088.5
United States,May 19 2021,33040109,10080.1
United States,May 18 2021,33011956,10071.5
United States,May 17 2021,32983213,10062.8
United States,May 16 2021,32963320,10056.7
United States,May 15 2021,32942829,10050.4
United States,May 14 2021,32914279,10041.7
United States,May 13 2021,32880820,10031.5
United States,May 12 2021,32845229,10020.7
United States,May 11 2021,32809848,10009.9
United States,May 10 2021,32775290,9999.3
United States,May  9 2021,32750462,9991.8
United States,May  8 2021,32724171,9983.7
United States,May  7 2021,32688351,9972.8
United States,May  6 2021,32644671,9959.5
United States,May  5 2021,32601649,9946.4
United States,May  4 2021,32556070,9932.4
United States,May  3 2021,32511589,9918.9
United States,May  2 2021,32478066,9908.6
United States,May  1 2021,32442659,9897.8
United States,Apr 30 2021,32395427,9883.4
United States,Apr 29 2021,32340493,9866.7
United States,Apr 28 2021,32283865,9849.4
United States,Apr 27 2021,32227771,9832.3
United States,Apr 26 2021,32175341,9816.3
United States,Apr 25 2021,32144661,9806.9
United States,Apr 24 2021,32104983,9794.8
United States,Apr 23 2021,32053238,9779
United States,Apr 22 2021,31989383,9759.6
United States,Apr 21 2021,31928411,9741
United States,Apr 20 2021,31863968,9721.3
United States,Apr 19 2021,31802716,9702.6
United States,Apr 18 2021,31767857,9692
United States,Apr 17 2021,31720039,9677.4
United States,Apr 16 2021,31646395,9654.9
United States,Apr 15 2021,31575612,9633.3
United States,Apr 14 2021,31501031,9610.6
United States,Apr 13 2021,31427584,9588.2
United States,Apr 12 2021,31352879,9565.4
United States,Apr 11 2021,31292030,9546.8
United States,Apr 10 2021,31242009,9531.5
United States,Apr  9 2021,31176134,9511.4
United States,Apr  8 2021,31096802,9487.2
United States,Apr  7 2021,31020947,9464.1
United States,Apr  6 2021,30941627,9439.9
United States,Apr  5 2021,30875092,9419.6
United States,Apr  4 2021,30818156,9402.2
United States,Apr  3 2021,30774094,9388.8
United States,Apr  2 2021,30711900,9369.8
United States,Apr  1 2021,30642480,9348.6
United States,Mar 31 2021,30568703,9326.1
United States,Mar 30 2021,30496026,9304
United States,Mar 29 2021,30432484,9284.6
United States,Mar 28 2021,30374922,9267
United States,Mar 27 2021,30323343,9251.3
United States,Mar 26 2021,30261248,9232.3
United States,Mar 25 2021,30184439,9208.9
United States,Mar 24 2021,30118085,9188.6
United States,Mar 23 2021,30049466,9167.7
United States,Mar 22 2021,29990124,9149.6
United States,Mar 21 2021,29940988,9134.6
