,M
0,1
1,-3
2,-1
3,-7
4,-9
5,-2
6,-6
7,-5
8,-3
9,4
10,2
11,4
12,2
13,2
14,2
15,-5
16,-10
17,1
18,-9
19,-11
20,-9
21,-7
22,-1
23,7
24,0
25,-1
26,-3
27,4
28,0
29,2
30,-7
31,-5
32,-10
33,0
34,2
35,8
36,-1
37,-1
38,-5
39,-4
40,2
41,0
42,4
43,1
44,1
45,1
46,5
47,7
48,-2
49,0
50,3
51,7
52,12
53,6
54,8
55,-1
56,3
57,-7
58,0
59,-1
60,1
61,-8
62,2
63,-7
64,-3
65,-1
66,0
67,-2
68,6
69,0
70,10
71,12
72,4
73,8
74,-2
75,11
76,9
77,5
78,1
79,-4
80,-3
81,1
82,0
83,-1
84,1
85,-3
86,2
87,5
88,7
89,0
90,-3
91,-4
92,5
93,2
94,7
95,3
96,2
97,9
98,15
99,3
100,1
101,-1
102,-3
103,-7
104,0
105,-3
106,3
107,2
108,0
109,-3
110,-2
111,-6
112,5
113,-3
114,-2
115,-2
116,-3
117,1
118,8
119,10
120,8
121,6
122,-2
123,0
124,-2
125,1
126,-7
127,-2
128,-4
129,0
130,0
131,0
132,-8
133,-6
134,-3
135,-5
136,-5
137,-11
138,-4
139,0
140,-3
141,-5
142,-12
143,-8
144,-9
145,-11
146,-17
147,-16
148,-12
149,-8
150,1
151,0
152,-4
153,-1
154,0
155,-5
156,-6
157,-8
158,-6
159,-4
160,4
161,-1
162,0
163,-3
164,-8
165,0
166,0
167,1
168,3
169,4
170,-4
171,-2
172,3
173,-1
174,-4
175,-5
176,1
177,-2
178,4
179,-3
180,-1
181,-4
182,1
183,-2
184,1
185,-1
186,-1
187,-4
188,4
189,-1
190,-1
191,-3
192,0
193,-3
194,2
195,-3
196,0
197,-3
198,2
199,-6
200,4
201,5
202,2
203,-2
204,-7
205,-8
206,-8
207,-7
208,-5
209,-1
210,-2
211,-1
212,3
213,-4
214,2
215,1
216,-2
217,4
218,-3
219,7
220,9
221,16
222,11
223,5
224,5
225,7
226,12
227,10
228,7
229,11
230,5
231,10
232,10
233,13
234,13
235,9
236,16
237,4
238,9
239,1
240,1
241,8
242,2
243,8
244,-3
245,1
246,-2
247,2
248,-2
249,-4
250,0
251,1
252,-3
253,8
254,-4
255,2
256,-1
257,3
258,9
259,4
260,2
261,-1
262,2
263,3
264,12
265,14
266,7
267,0
268,-1
269,-4
270,-6
271,7
272,1
273,1
274,2
275,-1
276,5
277,-6
278,6
279,-6
280,6
281,-2
282,2
283,3
284,8
285,0
286,1
287,-12
288,-9
289,-7
290,-4
291,-5
292,2
293,-4
294,4
295,0
296,-8
297,5
298,-3
299,0
300,-2
301,1
302,-7
303,-3
304,-8
305,-3
306,-3
307,0
308,1
309,2
310,3
311,-2
312,-6
313,-10
314,-8
315,-12
316,-11
317,-10
318,-4
319,-7
320,-8
321,-7
322,-2
323,-4
324,6
325,0
326,3
327,-1
328,-5
329,-11
330,-15
331,-6
332,-10
333,-4
334,0
335,0
336,0
337,-3
338,1
339,-1
340,3
341,-3
342,-1
343,-12
344,4
345,1
346,5
347,-2
348,5
349,1
350,1
351,5
352,9
353,15
354,7
355,14
356,2
357,12
358,4
359,7
360,5
361,3
362,7
363,5
364,4
365,6
366,2
367,1
368,-2
369,4
370,-2
371,2
372,1
373,4
374,3
375,-2
376,-4
377,0
378,-10
379,0
380,-2
381,4
382,2
383,-3
384,-6
385,-7
386,-6
387,2
388,4
389,4
390,2
391,-2
392,2
393,1
394,-5
395,3
396,1
397,6
398,5
399,7
400,3
401,6
402,-1
403,0
404,-4
405,1
406,6
407,5
408,1
409,-3
410,-1
411,-1
412,5
413,-1
414,1
415,2
416,3
417,-1
418,1
419,-1
420,1
421,-1
422,-3
423,-5
424,-5
425,-8
426,-4
427,-5
428,-6
429,1
430,-6
431,8
432,3
433,7
434,6
435,1
436,1
437,1
438,-1
439,3
440,3
441,-5
442,-1
443,-4
444,-1
445,-1
446,2
447,-1
448,4
449,7
450,8
451,8
452,3
453,5
454,-3
455,-5
456,2
457,5
458,1
459,0
460,-1
461,-2
462,1
463,-2
464,4
465,6
466,11
467,9
468,11
469,4
470,1
471,-1
472,4
473,5
474,2
475,-1
476,2
477,-8
478,-2
479,-12
480,-7
481,-7
482,-3
483,-4
484,5
485,-2
486,2
487,4
488,2
489,-5
490,-3
491,0
492,0
493,7
494,0
495,1
496,-6
497,-1
498,-3
499,2
500,-7
501,0
502,3
503,-3
504,3
505,1
506,1
507,0
508,4
509,7
510,5
511,-2
512,1
513,-3
514,2
515,-3
516,0
517,0
518,0
519,2
520,-1
521,1
522,-1
523,-1
524,0
525,-7
526,1
527,-2
528,-3
529,3
530,-3
531,2
532,0
533,-2
534,4
535,-4
536,3
537,-1
538,1
539,2
540,5
541,-6
542,-1
543,-1
544,-3
545,-10
546,-9
547,-7
548,-11
549,-3
550,-4
551,1
552,-3
553,-6
554,0
555,4
556,6
557,0
558,0
559,3
560,-1
561,0
562,-3
563,6
564,1
565,4
566,-4
567,2
568,-1
569,4
570,3
571,3
572,-1
573,-1
574,2
575,5
576,5
577,-1
578,2
579,0
580,0
581,-7
582,-5
583,-4
584,-6
585,-6
586,-2
587,0
588,1
589,0
590,0
591,1
592,-8
593,2
594,-5
595,1
596,-3
597,-6
598,-2
599,0
600,-1
601,4
602,-2
603,3
604,-1
605,4
606,-4
607,2
608,-9
609,-7
610,-4
611,-1
612,0
613,-2
614,1
615,5
616,7
617,7
618,4
619,1
620,-1
621,-2
622,-4
623,-9
624,3
625,-3
626,3
627,-8
628,1
629,0
630,0
631,0
632,-2
633,-4
634,-5
635,-9
636,-4
637,-4
638,-1
639,2
640,-3
641,3
642,-3
643,1
644,-8
645,-6
646,-7
647,-9
648,-2
649,-2
650,4
651,4
652,5
653,7
654,-2
655,2
656,3
657,2
658,2
659,-5
660,2
661,0
662,3
663,-3
664,-4
665,-9
666,0
667,-3
668,2
669,3
670,4
671,4
672,0
673,3
674,0
675,-1
676,8
677,-1
678,2
679,2
680,2
681,0
682,-3
683,-4
684,-7
685,1
686,3
687,1
688,1
689,-3
690,3
691,2
692,1
693,2
694,-7
695,1
696,4
697,6
698,-5
699,-4
700,-2
701,2
702,-3
703,-2
704,7
705,1
706,6
707,-1
708,-3
709,-1
710,-2
711,1
712,0
713,1
714,-1
715,-3
716,-8
717,-2
718,-9
719,3
720,0
721,1
722,-5
723,-7
724,-1
725,1
726,-2
727,-2
728,2
729,-1
730,1
731,0
732,3
733,-1
734,10
735,-2
736,4
737,1
738,9
739,3
740,3
741,10
742,8
743,14
744,3
745,3
746,-4
747,-4
748,-5
749,4
750,-3
751,4
752,14
753,10
754,13
755,14
756,9
757,5
758,4
759,2
760,5
761,5
762,7
763,4
764,0
765,-2
766,7
767,-2
768,3
769,2
770,-2
771,6
772,7
773,8
774,3
775,-1
776,8
777,7
778,-1
779,1
780,-4
781,-4
782,-5
783,-7
784,1
785,-1
786,-3
787,-2
788,-6
789,3
790,4
791,1
792,-1
793,-1
794,-3
795,0
796,1
797,0
798,4
799,10
800,10
801,2
802,-1
803,-3
804,2
805,2
806,0
807,1
808,0
809,1
810,3
811,3
812,-7
813,-3
814,-1
815,5
816,0
817,-3
818,0
819,-1
820,-3
821,-2
822,-3
823,0
824,-8
825,-3
826,-3
827,-2
828,-3
829,-2
830,-14
831,3
832,-4
833,-4
834,-2
835,-2
836,2
837,1
838,3
839,0
840,5
841,-5
842,2
843,-7
844,-5
845,-7
846,-5
847,-7
848,-4
849,-12
850,-8
851,-11
852,-13
853,-8
854,-11
855,-8
856,-6
857,1
858,-2
859,-9
860,-9
861,0
862,5
863,6
864,6
865,-3
866,6
867,4
868,-1
869,3
870,-3
871,0
872,0
873,-1
874,0
875,-9
876,2
877,1
878,-3
879,-7
880,-1
881,0
882,2
883,4
884,0
885,-4
886,-5
887,-9
888,-7
889,-7
890,-7
891,-5
892,-2
893,8
894,1
895,3
896,-3
897,6
898,9
899,16
900,14
901,19
902,9
903,10
904,12
905,7
906,5
907,-1
908,1
909,2
910,5
911,3
912,-3
913,-1
914,-7
915,0
916,4
917,-2
918,6
919,-4
920,1
921,-3
922,1
923,0
924,1
925,1
926,-1
927,6
928,0
929,5
930,1
931,0
932,-2
933,-4
934,-6
935,5
936,-9
937,2
938,-6
939,1
940,2
941,-2
942,-2
943,-3
944,-12
945,-2
946,-9
947,-6
948,-2
949,-11
950,-7
951,-8
952,0
953,0
954,3
955,2
956,1
957,0
958,4
959,5
960,8
961,8
962,-7
963,-2
964,-7
965,3
966,7
967,3
968,10
969,7
970,7
971,7
972,9
973,11
974,-1
975,0
976,-2
977,-4
978,-6
979,8
980,2
981,9
982,6
983,6
984,0
985,1
986,2
987,0
988,2
989,-5
990,2
991,-4
992,5
993,1
994,2
995,-2
996,1
997,-2
998,3
999,2
1000,10
1001,0
1002,-3
1003,1
1004,-3
1005,3
1006,-6
1007,1
1008,0
1009,0
1010,0
1011,-2
1012,3
1013,-3
1014,8
1015,1
1016,2
1017,1
1018,-4
1019,2
1020,-1
1021,2
1022,-1
1023,-2
1024,0
1025,3
1026,0
1027,1
1028,-1
1029,9
1030,-4
1031,-1
1032,-4
1033,0
1034,2
1035,3
1036,0
1037,1
1038,-2
1039,-1
1040,-1
1041,-3
1042,5
1043,2
1044,1
1045,-3
1046,-4
1047,-5
1048,1
1049,-3
1050,2
1051,5
1052,9
1053,7
1054,7
1055,5
1056,2
1057,2
1058,6
1059,7
1060,0
1061,2
1062,-3
1063,-5
1064,-6
1065,-4
1066,-1
1067,2
1068,9
1069,11
1070,15
1071,2
1072,1
1073,1
1074,7
1075,3
1076,1
1077,4
1078,3
1079,-3
1080,1
1081,-5
1082,3
1083,-4
1084,3
1085,-1
1086,4
1087,3
1088,2
1089,0
1090,3
1091,5
1092,3
1093,3
1094,-7
1095,4
1096,0
1097,5
1098,3
1099,4
1100,3
1101,3
1102,-1
1103,0
1104,-7
1105,3
1106,-4
1107,3
1108,-3
1109,2
1110,0
1111,-2
1112,3
1113,-1
1114,0
1115,-5
1116,-11
1117,-16
1118,-14
1119,-18
1120,-15
1121,-25
1122,-18
1123,-19
1124,-18
1125,-11
1126,-14
1127,-18
1128,-21
1129,-20
1130,-20
1131,-19
1132,-19
1133,-18
1134,-22
1135,-17
1136,-23
1137,-20
1138,-23
1139,-23
1140,-33
1141,-25
1142,-21
1143,-19
1144,-17
1145,-17
1146,-24
1147,-18
1148,-19
1149,-16
1150,-16
1151,-22
1152,-11
1153,-12
