,M
0,187
1,251
2,373
3,491
4,439
5,410
6,276
7,206
8,481
9,504
10,366
11,508
12,378
13,166
14,66
15,-282
16,-427
17,-432
18,-433
19,-164
20,75
21,121
22,-216
23,-607
24,-597
25,61
26,295
27,-176
28,-342
29,-162
30,-284
31,-499
32,-476
33,-462
34,-361
35,-294
36,-302
37,-305
38,-106
39,97
40,-172
41,-322
42,-238
43,23
44,53
45,-70
46,245
47,359
48,274
49,380
50,466
51,357
52,243
53,279
54,269
55,101
56,60
57,146
58,51
59,-256
60,-556
61,-612
62,-387
63,-135
64,0
65,-33
66,2
67,36
68,243
69,295
70,28
71,25
72,51
73,204
74,331
75,135
76,-36
77,205
78,423
79,320
80,469
81,595
82,391
83,413
84,615
85,761
86,776
87,679
88,893
89,1046
90,789
91,748
92,735
93,816
94,887
95,637
96,474
97,558
98,643
99,651
100,676
101,752
102,696
103,709
104,740
105,668
106,715
107,440
108,246
109,449
110,401
111,331
112,423
113,721
114,934
115,973
116,853
117,734
118,827
119,988
120,930
121,603
122,334
123,424
124,569
125,515
126,299
127,155
128,258
129,381
130,224
131,271
132,497
133,731
134,685
135,571
136,527
137,292
138,190
139,13
140,-328
141,-427
142,-281
143,-182
144,-362
145,-491
146,-481
147,-476
148,-532
149,-417
150,-186
151,-181
152,-405
153,-340
154,-93
155,-246
156,-340
157,-367
158,-331
159,-255
160,-337
161,-316
162,-371
163,-427
164,-39
165,228
166,4
167,-23
168,172
169,170
170,422
171,593
172,443
173,360
174,217
175,154
176,410
177,413
178,220
179,71
180,87
181,106
182,-168
183,-104
184,107
185,129
186,99
187,-44
188,-3
189,-56
190,-118
191,65
192,-71
193,-171
194,16
195,138
196,83
197,102
198,157
199,86
200,99
201,177
202,130
203,238
204,239
205,186
206,232
207,301
208,215
209,134
210,-25
211,-21
212,85
213,-54
214,142
215,332
216,144
217,39
218,118
219,128
220,105
221,-99
222,-272
223,-262
224,-196
225,-235
226,-474
227,-658
228,-541
229,-484
230,-616
231,-613
232,-650
233,-601
234,-661
235,-620
236,-369
237,-406
238,-730
239,-816
240,-869
241,-1054
242,-1168
243,-1074
244,-949
245,-1029
246,-1102
247,-864
248,-908
249,-943
250,-831
251,-775
252,-640
253,-402
254,-304
255,-347
256,-443
257,-467
258,-232
259,-183
260,-231
261,-206
262,-291
263,-144
264,-78
265,-84
266,-15
267,-40
268,194
269,229
270,19
271,-77
272,-193
273,-144
274,-31
275,-33
276,-118
277,-237
278,-251
279,-191
280,-200
281,-259
282,-382
283,-458
284,-431
285,-434
286,-428
287,-437
288,-480
289,-387
290,-150
291,-5
292,-20
293,-51
294,-49
295,-54
296,-169
297,-232
298,-204
299,-101
300,53
301,-147
302,-207
303,-122
304,-18
305,42
306,63
307,8
308,22
309,243
310,491
311,584
312,435
313,462
314,584
315,621
316,695
317,507
318,443
319,721
320,686
321,477
322,197
323,90
324,162
325,158
326,170
327,242
328,313
329,444
330,461
331,404
332,345
333,392
334,434
335,258
336,181
337,99
338,30
339,213
340,109
341,-177
342,-375
343,-431
344,-450
345,-504
346,-565
347,-667
348,-593
349,-401
350,-369
351,-280
352,-295
353,-376
354,-298
355,-267
356,-233
357,-354
358,-400
359,-363
360,-385
361,-390
362,-350
363,-304
364,-207
365,11
366,111
367,132
368,110
369,160
370,340
371,600
372,686
373,834
374,975
375,954
376,1057
377,1207
378,1160
379,1147
380,1192
381,1170
382,1118
383,929
384,801
385,744
386,660
387,485
388,360
389,371
390,367
391,343
392,341
393,419
394,506
395,455
396,327
397,31
398,-63
399,-17
400,-42
401,-201
402,-452
403,-611
404,-562
405,-594
406,-751
407,-880
408,-901
409,-830
410,-677
411,-579
412,-637
413,-643
414,-694
415,-751
416,-717
417,-838
418,-1091
419,-1049
420,-920
421,-911
422,-962
423,-1022
424,-1087
425,-989
426,-880
427,-893
428,-879
429,-616
430,-415
431,-230
432,-131
433,-178
434,27
435,196
436,126
437,99
438,176
439,321
440,598
441,864
442,1002
443,1157
444,1323
445,1342
446,1340
447,1318
448,1356
449,1488
450,1467
451,1387
452,1255
453,1249
454,1301
455,1380
456,1359
457,1235
458,1343
459,1331
460,1346
461,1528
462,1579
463,1655
464,1628
465,1500
466,1543
467,1539
468,1419
469,1422
470,1305
471,1139
472,1072
473,1193
474,1365
475,1110
476,897
477,1069
478,1029
479,956
480,908
481,962
482,846
483,636
484,640
485,540
486,563
487,593
488,704
489,843
490,927
491,922
492,882
493,999
494,1197
495,1181
496,1040
497,942
498,925
499,998
500,1116
501,1162
502,1059
503,1070
504,1075
505,1128
506,1198
507,1049
508,1014
509,1034
510,1014
511,1097
512,864
513,508
514,353
515,258
516,353
517,457
518,455
519,487
520,367
521,233
522,66
523,-63
524,8
525,138
526,94
527,6
528,-19
529,-46
530,-78
531,-150
532,-228
533,-268
534,-168
535,-101
536,-121
537,-24
538,24
539,112
540,186
541,16
542,-31
543,-30
544,-106
545,-11
546,71
547,137
548,247
549,323
550,403
551,399
552,347
553,374
554,577
555,865
556,1057
557,1032
558,1176
559,1430
560,1427
561,1286
562,1029
563,956
564,903
565,754
566,622
567,312
568,178
569,33
570,-39
571,-54
572,-117
573,25
574,219
575,410
576,421
577,440
578,670
579,748
580,654
581,552
582,518
583,633
584,644
585,657
586,653
587,617
588,727
589,738
590,741
591,763
592,890
593,1019
594,1040
595,916
596,785
597,629
598,666
599,865
600,826
601,523
602,302
603,460
604,739
605,637
606,377
607,84
608,-8
609,161
610,156
611,0
612,-99
613,-122
614,58
615,178
616,145
617,19
618,-84
619,-92
620,-122
621,-175
622,-199
623,-206
624,-290
625,-519
626,-655
627,-661
628,-583
629,-485
630,-480
631,-343
632,-348
633,-398
634,-406
635,-411
636,-498
637,-593
638,-662
639,-707
640,-560
641,-544
642,-592
643,-719
644,-646
645,-490
646,-579
647,-700
648,-759
649,-804
650,-574
651,-402
652,-526
653,-642
654,-916
655,-1109
656,-964
657,-895
658,-610
659,-339
660,-380
661,-249
662,-365
663,-364
664,-343
665,-633
666,-759
667,-1174
668,-1197
669,-887
670,-885
671,-929
672,-1271
673,-1277
674,-944
675,-691
676,-525
677,-706
678,-955
679,-954
680,-883
681,-649
682,-559
683,-570
684,-470
685,-416
686,-393
687,-285
688,-271
689,-406
690,-490
691,-660
692,-662
693,-658
694,-838
695,-806
696,-658
697,-587
698,-600
699,-444
700,-436
701,-666
702,-643
703,-613
704,-539
705,-291
706,-288
707,-296
708,-237
709,-151
710,341
711,600
712,669
713,944
714,924
715,800
716,735
717,613
718,817
719,972
720,856
721,983
722,825
723,956
724,1324
725,1170
726,1079
727,988
728,822
729,995
730,1074
731,870
732,512
733,350
734,426
735,484
736,441
737,127
738,15
739,127
740,336
741,622
742,572
743,598
744,753
745,655
746,562
747,613
748,596
749,514
750,522
751,243
752,132
753,42
754,-250
755,-464
756,-570
757,-480
758,-337
759,-303
760,-359
761,-309
762,-330
763,-141
764,-53
765,-299
766,-274
767,-364
768,-326
769,-223
770,-321
771,-273
772,-334
773,-588
774,-761
775,-800
776,-814
777,-932
778,-993
779,-1134
780,-1142
781,-1094
782,-1233
783,-1257
784,-1294
785,-1250
786,-1157
787,-1118
788,-926
789,-892
790,-948
791,-880
792,-991
793,-1003
794,-945
795,-969
796,-954
797,-1001
798,-1007
799,-902
800,-823
801,-718
802,-650
803,-583
804,-405
805,-369
806,-294
807,-134
808,-236
809,-442
810,-566
811,-669
812,-696
813,-653
814,-711
815,-517
